ingredient,measurement,name,unit
Lime wedges,1,Shady Lady with Maraschino cherry,units
Vodka,1.5,Shalom,oz
Madeira,1,Shalom,oz
Orange juice,0.5,Shalom,oz
Orange wheel,0.5,Shalom,units
Bourbon whiskey,2,Shalom,oz
White creme de cacao,0.75,Shalom,oz
Lemon juice,0.5,Shalom,oz
Irish whiskey,1.5,Shamrock Cocktail,oz
Dry vermouth,0.5,Shamrock Cocktail,oz
Old mr. boston green creme de menthe,1,Shamrock Cocktail,oz
Egg,1,Sherry Flip,units
Powdered sugar,1,Sherry Flip,oz
Cream sherry,1.5,Sherry Flip,oz
Light cream,2,Sherry Flip,oz
Powdered sugar,1,Sherry Milk Punch,oz
Cream sherry,2,Sherry Milk Punch,oz
Powdered sugar,0.5,Sherry Sangaree,oz
Cream sherry,2,Sherry Sangaree,oz
Carbonated water,1,Sherry Sangaree,oz
Port,1,Sherry Sangaree,oz
Cream sherry,1,Sherry Twist Cocktail,oz
Brandy,0.5,Sherry Twist Cocktail,oz
Dry vermouth,0.5,Sherry Twist Cocktail,oz
Triple sec,0.5,Sherry Twist Cocktail,oz
Lemon juice,0.5,Sherry Twist Cocktail,oz
Egg,1,Sherry-and-Egg Cocktail,units
Cream sherry,2,Sherry-and-Egg Cocktail,oz
Vodka,1.25,Siberian Sleighride,oz
White creme de cacao,0.75,Siberian Sleighride,oz
White creme de menthe,0.5,Siberian Sleighride,oz
Half-and-half,3,Siberian Sleighride,oz
Cognac,1,Sidecar,oz
Triple sec,1,Sidecar,oz
Lemon juice,0.5,Sidecar,oz
Vodka,1.5,Sidecar,oz
Madeira,1,Sidecar,oz
Orange juice,0.5,Sidecar,oz
Orange wheel,0.5,Sidecar,units
Reposado tequila,1.5,Sidewinder,oz
Campari,0.5,Sidewinder,oz
Vanilla syrup,0.5,Sidewinder,oz
Preferably b.a. reynold's,0.5,Sidewinder,oz
Lime juice,0.5,Sidewinder,oz
Mezcal,0.25,Sidewinder,oz
Ginger beer,1,Sidewinder,oz
Blanco tequila,1.5,Silk Stockings,oz
White creme de cacao,1,Silk Stockings,oz
Heavy cream,1.5,Silk Stockings,oz
Grenadine,1,Silk Stockings,oz
Ground cinnamon,1,Silk Stockings,units
Lemon juice,0.5,Silver Fizz,oz
Powdered sugar,1,Silver Fizz,oz
Gin,2,Silver Fizz,oz
Egg white,1,Silver Fizz,units
Egg white,1,Silver King Cocktail,units
Lemon juice,0.25,Silver King Cocktail,oz
Gin,1.5,Silver King Cocktail,oz
Powdered sugar,0.5,Silver King Cocktail,oz
Orange bitters,2,Silver King Cocktail,oz
Vanilla ice cream,1,Silver Stallion Fizz,oz
Gin,2,Silver Stallion Fizz,oz
Carbonated water,2,Silver Stallion Fizz,oz
Lemon juice,0.5,Singapore Sling,oz
Powdered sugar,1,Singapore Sling,oz
Gin,2,Singapore Sling,oz
Club soda,1,Singapore Sling,units
Cherry-flavored brandy,0.5,Singapore Sling,oz
Light rum,0.75,Sir Walter Cocktail,oz
Brandy,0.75,Sir Walter Cocktail,oz
Grenadine,1,Sir Walter Cocktail,oz
Triple sec,1,Sir Walter Cocktail,oz
Lemon juice,1,Sir Walter Cocktail,oz
Egg,1,Sloe Gin Flip,units
Powdered sugar,1,Sloe Gin Flip,oz
Sloe gin,1,Sloe Gin Flip,oz
Light cream,2,Sloe Gin Flip,oz
Blanco tequila,1,Sloe Tequila,oz
Sloe gin,0.5,Sloe Tequila,oz
Lime juice,0.5,Sloe Tequila,oz
Light rum,0.75,Sloppy Joe's Cocktail No. 1,oz
Dry vermouth,0.75,Sloppy Joe's Cocktail No. 1,oz
Triple sec,0.5,Sloppy Joe's Cocktail No. 1,oz
Lime juice,1,Sloppy Joe's Cocktail No. 1,oz
Grenadine,0.5,Sloppy Joe's Cocktail No. 1,oz
Grenadine,1,Smile Cocktail,oz
Gin,1,Smile Cocktail,oz
Lemon juice,0.5,Smile Cocktail,oz
Sweet vermouth,0.5,Smiler Cocktail,oz
Dry vermouth,0.5,Smiler Cocktail,oz
Gin,1,Smiler Cocktail,oz
Bitters,1,Smiler Cocktail,oz
Orange juice,0.25,Smiler Cocktail,oz
Smoky scotch whisky,0.5,Smoked Margarita,oz
Reposado tequila,1,Smoked Margarita,oz
Triple sec,1,Smoked Margarita,oz
Lemon juice,0.5,Smoked Margarita,oz
Lime juice,0.5,Smoked Margarita,oz
Lime wedges,1,Smoked Margarita,units
Such as islay,0.5,Smoked Margarita,oz
Skye,0.5,Smoked Margarita with Skye,oz
Smoky scotch whisky,0.5,Smoked Margarita with Skye,oz
Reposado tequila,1,Smoked Margarita with Skye,oz
Triple sec,1,Smoked Margarita with Skye,oz
Lemon juice,0.5,Smoked Margarita with Skye,oz
Lime juice,0.5,Smoked Margarita with Skye,oz
Lime wedges,1,Smoked Margarita with Skye,units
Old mr. boston dry gin,1.5,Snowball Cocktail,oz
Old mr. boston anisette,0.5,Snowball Cocktail,oz
Sweet cream,1,Snowball Cocktail,oz
Gin,1.5,Snyder,oz
Dry vermouth,0.5,Snyder,oz
Triple sec,0.5,Snyder,oz
Gin,1.5,Society Cocktail,oz
Dry vermouth,0.75,Society Cocktail,oz
Grenadine,0.25,Society Cocktail,oz
Vodka,0.5,Sonic Blaster,oz
Light rum,0.5,Sonic Blaster,oz
Creme de banana,0.5,Sonic Blaster,oz
Pineapple juice,1,Sonic Blaster,oz
Orange juice,1,Sonic Blaster,oz
Cranberry juice,1,Sonic Blaster,oz
Orange juice,1.5,Soul Kiss Cocktail,oz
Dubonnet,1.5,Soul Kiss Cocktail,oz
Dry vermouth,0.75,Soul Kiss Cocktail,oz
Bourbon,0.75,Soul Kiss Cocktail,oz
Blanco tequila,1,South Of The Border,oz
Coffee-flavored brandy,0.75,South Of The Border,oz
Lime juice,0.5,South Of The Border,oz
Gin,2,Southern Gin Cocktail,oz
Orange bitters,2,Southern Gin Cocktail,oz
Triple sec,0.5,Southern Gin Cocktail,oz
Vodka,1.5,Soviet,oz
Amontillado sherry,0.5,Soviet,oz
Dry vermouth,0.5,Soviet,oz
Lemon twist,1,Soviet,units
Light rum,2,Spanish Town Cocktail,oz
Triple sec,0.5,Spanish Town Cocktail,oz
Apple brandy,1.5,Special Rough Cocktail,oz
Brandy,1.5,Special Rough Cocktail,oz
Anisette,0.5,Special Rough Cocktail,oz
Gin,1.5,Sphinx Cocktail,oz
Sweet vermouth,1.5,Sphinx Cocktail,oz
Dry vermouth,1.5,Sphinx Cocktail,oz
Cucumber,5,Spice Of Life,oz
Mint leaves,12,Spice Of Life,units
Simple syrup,0.75,Spice Of Life,oz
Jalapeno-infused tequila,2,Spice Of Life,oz
Lime juice,0.75,Spice Of Life,oz
Mint sprigs,1,Spice Of Life,units
Lemon juice,1,Spring Feeling Cocktail,oz
Green chartreuse,0.5,Spring Feeling Cocktail,oz
Gin,1,Spring Feeling Cocktail,oz
Carbonated water,3,Spritzer Highball,oz
Chilled rhine wine,3,Spritzer Highball,oz
Sauterne,3,Spritzer Highball with Sauterne,oz
Carbonated water,3,Spritzer Highball with Sauterne,oz
Vodka,1.25,Sputnik,oz
Peach schnapps,1.25,Sputnik,oz
Orange juice,3,Sputnik,oz
Half-and-half,3,Sputnik,oz
Old mr. boston green creme de menthe,0.75,St. Patrick's Day Cocktail,oz
Green chartreuse,0.75,St. Patrick's Day Cocktail,oz
Irish whiskey,0.75,St. Patrick's Day Cocktail,oz
Bitters,1,St. Patrick's Day Cocktail,oz
Old mr. boston white creme de menthe,0.5,Stinger Cocktail,oz
Old mr. boston five star brandy,1.5,Stinger Cocktail,oz
Lemon wedges,1,Stockholm 75,units
Superfine sugar,1,Stockholm 75,oz
Citrus-flavored vodka,0.75,Stockholm 75,oz
Simple syrup,0.75,Stockholm 75,oz
Lemon juice,0.75,Stockholm 75,oz
Chilled champagne,3,Stockholm 75,oz
Dry sherry,1,Stone Cocktail,oz
Light rum,0.5,Stone Cocktail,oz
Sweet vermouth,0.5,Stone Cocktail,oz
Fresh ginger,2,Stone Wall,oz
Demerara syrup,0.75,Stone Wall,oz
Apple cider,1.5,Stone Wall,oz
Light rum,1.5,Stone Wall,oz
Jamaican ginger beer,3,Stone Wall,oz
Green apple slice,1,Stone Wall,units
Lime wedges,1,Stone Wall,units
Dark rum,2,Stormy Colada,oz
Pineapple juice,2,Stormy Colada,oz
Ginger beer,3,Stormy Colada,oz
Lime wedges,1,Strawberry Margarita,units
Strawberries,3,Strawberry Margarita,units
Strawberry schnapps,0.75,Strawberry Margarita,oz
Blanco tequila,1.5,Strawberry Margarita,oz
Triple sec,0.75,Strawberry Margarita,oz
Lime juice,0.75,Strawberry Margarita,oz
Strawberries,0.75,Strawberry Margarita,units
Superfine sugar,1,Strawberry Margarita,oz
Coarse salt,1,Strawberry Margarita with Coarse salt,oz
Lime wedges,1,Strawberry Margarita with Coarse salt,units
Strawberries,3,Strawberry Margarita with Coarse salt,units
Strawberry schnapps,0.75,Strawberry Margarita with Coarse salt,oz
Blanco tequila,1.5,Strawberry Margarita with Coarse salt,oz
Triple sec,0.75,Strawberry Margarita with Coarse salt,oz
Lime juice,0.75,Strawberry Margarita with Coarse salt,oz
Strawberries,0.75,Strawberry Margarita with Coarse salt,units
Strawberry schnapps,2,Strawberry Sunries,oz
Grenadine,0.5,Strawberry Sunries,oz
Citrus-flavored vodka,2,Stupid Cupid,oz
Sloe gin,0.5,Stupid Cupid,oz
Simple syrup,1,Stupid Cupid,oz
Lemon juice,1,Stupid Cupid,oz
Anisette,2,Suissesse Cocktail,oz
Egg white,1,Suissesse Cocktail,units
Hot shot tropical fruit liqueur,2,Sunburn,oz
Grapefruit juice,2,Sunburn,oz
Blanco tequila,1,Sunday Confession,oz
Limoncello,1,Sunday Confession,oz
Lemon juice,0.5,Sunday Confession,oz
Lemon wedges,1,Sunday Confession,units
Dark rum,2,Sunset at Gowanus,oz
Lime juice,0.75,Sunset at Gowanus,oz
Maple syrup,0.5,Sunset at Gowanus,oz
Brandy,0.25,Sunset at Gowanus,oz
Yellow chartreuse,0.25,Sunset at Gowanus,oz
Sweet vermouth,0.75,Sunshine Cocktail,oz
Gin,1.5,Sunshine Cocktail,oz
Bitters,1,Sunshine Cocktail,oz
Hot shot tropical fruit liqueur,2,Suntan,oz
Orange juice,2,Suntan,oz
Vodka,2,Surf Rider,oz
Sweet vermouth,0.5,Surf Rider,oz
Orange juice,2,Surf Rider,oz
Lemon juice,0.5,Surf Rider,oz
Grenadine,0.25,Surf Rider,oz
Orange half-wheel,1,Surf Rider,units
Maraschino cherry,1,Surf Rider,units
Light rum,2,Susie Taylor,oz
Lime juice,0.5,Susie Taylor,oz
Ginger ale,3,Susie Taylor,oz
Vodka,1,Sweet Maria,oz
Amaretto,0.5,Sweet Maria,oz
Half-and-half,0.5,Sweet Maria,oz
Gin,1,Sweet Patootie Cocktail,oz
Triple sec,0.5,Sweet Patootie Cocktail,oz
Orange juice,1,Sweet Patootie Cocktail,oz
Old thompson blended whiskey,1.5,T.N.T. Cocktail,oz
Absinthe,1.5,T.N.T. Cocktail,oz
Blended whiskey,1.5,T.N.T. Cocktail No. 1,oz
Anis,1.5,T.N.T. Cocktail No. 1,oz
Tequila,1,T.N.T. Cocktail No. 2,oz
Tonic,1,T.N.T. Cocktail No. 2,units
Old thompson blended whiskey,1.5,T.N.T. No. 1,oz
Absinthe,1.5,T.N.T. No. 1,oz
Dubonnet rouge,2,Tabby Cat,oz
Orange-flavored vodka,1,Tabby Cat,oz
Orange bitters,2,Tabby Cat,oz
Lemon twist,1,Tabby Cat,units
Light rum,2,Tahiti Club,oz
Lemon juice,0.5,Tahiti Club,oz
Lime juice,0.5,Tahiti Club,oz
Pineapple juice,0.5,Tahiti Club,oz
Maraschino liqueur,0.25,Tahiti Club,oz
Lemon wheels,1,Tahiti Club,units
Gin,0.5,Tahitian Tea,oz
Light rum,0.5,Tahitian Tea,oz
Vodka,0.5,Tahitian Tea,oz
Hot shot tropical fruit liqueur,0.5,Tahitian Tea,oz
7-up,1,Tahitian Tea,oz
Each cranberry juice,1,Tahitian Tea,oz
Orange juice,1,Tahitian Tea,oz
Gin,0.75,Tailspin Cocktail,oz
Sweet vermouth,0.75,Tailspin Cocktail,oz
Green chartreuse,0.75,Tailspin Cocktail,oz
Orange bitters,1,Tailspin Cocktail,oz
Tanqueray gin,1.5,Tanq-A-Rita,oz
Margarita mix,3,Tanq-A-Rita,oz
Triple sec,1,Tanq-A-Rita,oz
Light rum,1,Tchoupitolas Street Guzzle,oz
Ginger beer,3,Tchoupitolas Street Guzzle,oz
Hot tea,6,Tea Saronno,oz
Amaretto di saronno,1.5,Tea Saronno,oz
Whipped cream,1,Tea Saronno,units
Blended whiskey,1.5,Temptation Cocktail,oz
Triple sec,0.5,Temptation Cocktail,oz
Anis,0.5,Temptation Cocktail,oz
Dubonnet,0.5,Temptation Cocktail,oz
Port,1,Tempter Cocktail,oz
Apricot flavored brandy,1,Tempter Cocktail,oz
Blanco tequila,1.5,Tequila Canyon,oz
Triple sec,0.25,Tequila Canyon,oz
Cranberry juice,1,Tequila Canyon,oz
Pineapple juice,1,Tequila Canyon,oz
Orange juice,1,Tequila Canyon,oz
Lime wheels,1,Tequila Canyon,units
Tequila,2,Tequila Cocktail,oz
Lemon juice,0.5,Tequila Cocktail,oz
Grenadine,4,Tequila Cocktail,oz
Egg white,1,Tequila Cocktail,units
Blanco tequila,2,Tequila Collins,oz
Lemon juice,0.5,Tequila Collins,oz
Simple syrup,0.5,Tequila Collins,oz
Lemon wheels,1,Tequila Collins,units
Orange wheel,1,Tequila Collins,units
Maraschino cherry,1,Tequila Collins,units
Tequila,2,Tequila Fizz,oz
Grenadine,0.75,Tequila Fizz,oz
Lemon juice,1,Tequila Fizz,oz
Egg white,1,Tequila Fizz,units
Blanco tequila,2,Tequila Manhattan,oz
Sweet vermouth,1,Tequila Manhattan,oz
Angostura bitters,1,Tequila Manhattan,oz
Blanco tequila,1.5,Tequila Matador,oz
Pineapple juice,2,Tequila Matador,oz
Lime juice,0.5,Tequila Matador,oz
Lime wedges,1,Tequila Mockingbird,units
Coarse salt,1,Tequila Mockingbird,oz
Minced ginger,0.25,Tequila Mockingbird,oz
Blanco tequila,1.75,Tequila Mockingbird,oz
Agave nectar,1.5,Tequila Mockingbird,oz
Lime juice,1,Tequila Mockingbird,oz
Lime wheels,1,Tequila Mockingbird,units
Blanco tequila,1.5,Tequila Old-Fashioned,oz
Simple syrup,1,Tequila Old-Fashioned,oz
Angostura bitters,1,Tequila Old-Fashioned,oz
Soda water,1,Tequila Old-Fashioned,oz
Lemon twist,1,Tequila Old-Fashioned,units
Blanco tequila,1.5,Tequila Pink,oz
Dry vermouth,1,Tequila Pink,oz
Grenadine,0.25,Tequila Pink,oz
Blueberries,4,Tequila Smash,oz
Bing cherries,4,Tequila Smash,oz
Blanco tequila,2,Tequila Smash,oz
Maraschino liqueur,0.5,Tequila Smash,oz
Lime juice,0.5,Tequila Smash,oz
Lime wheels,1,Tequila Smash,units
Bing cherry,1,Tequila Smash,units
Blanco tequila,2,Tequila Sour,oz
Lemon juice,0.75,Tequila Sour,oz
Simple syrup,0.75,Tequila Sour,oz
Coarse salt,1,Tequila Straight,oz
Blanco tequila,1.5,Tequila Straight,oz
Lime wedges,1,Tequila Straight,units
Blanco tequila,2,Tequila Sunrise,oz
Orange juice,4,Tequila Sunrise,oz
Grenadine,0.75,Tequila Sunrise,oz
Blanco tequila,1.5,Tequini,oz
Dry vermouth,0.5,Tequini,oz
Angostura bitters,1,Tequini,oz
Old mr. boston tequila,1.5,Tequini Cocktail,oz
Dry vermouth,0.5,Tequini Cocktail,oz
Bitters,1,Tequini Cocktail,oz
Blanco tequila,2,Tequonic,oz
Tonic water,1,Tequonic,units
Lemon,0.25,Tequonic,units
Lime juice,0.25,Tequonic with Lime juice,oz
Blanco tequila,2,Tequonic with Lime juice,oz
Tonic water,1,Tequonic with Lime juice,units
Old mr. boston apricot flavored brandy,0.75,Thanksgiving Special Cocktail,oz
Old mr. boston dry gin,0.75,Thanksgiving Special Cocktail,oz
Dry vermouth,0.75,Thanksgiving Special Cocktail,oz
Lemon juice,0.25,Thanksgiving Special Cocktail,oz
Absinthe,0.5,The 21st Century,oz
Absinthe,1,The 21st Century,oz
Blanco tequila,1.5,The 21st Century,oz
Lime juice,0.75,The 21st Century,oz
White creme de cacao,0.75,The 21st Century,oz
Irish whiskey,1.25,The Beautiful Day,oz
Rhubarb syrup,0.75,The Beautiful Day,oz
Cold brewed green tea,2,The Beautiful Day,oz
Edible flowers,1,The Beautiful Day,units
Raspberry-flavored vodka,1,The Big Crush,oz
Triple sec,0.5,The Big Crush,oz
Raspberry-flavored liqueur,0.5,The Big Crush,oz
Lime juice,0.5,The Big Crush,oz
Chilled champagne,2,The Big Crush,oz
Fresh blackberries,1,The Big Crush,units
Raspberries,1,The Big Crush,units
Straight rye whisky,2,The Blinker,oz
Grapefruit juice,1.5,The Blinker,oz
Raspberry syrup,1,The Blinker,oz
Grapefruit twist,1,The Blinker,units
Skewered raspberry,1,The Blinker with Skewered raspberry,units
Straight rye whisky,2,The Blinker with Skewered raspberry,oz
Grapefruit juice,1.5,The Blinker with Skewered raspberry,oz
Raspberry syrup,1,The Blinker with Skewered raspberry,oz
Orange-flavored vodka,2,The Blood Orange,oz
Campari,1,The Blood Orange,oz
Orange half-wheel,1,The Blood Orange,units
Bourbon whiskey,2,The Bone,oz
Lime juice,0.5,The Bone,oz
Simple syrup,0.5,The Bone,oz
Hot red pepper sauce,3,The Bone,oz
Bison grass vodka (zubrowka),1.5,The Cinquecento,oz
Benedictine,0.5,The Cinquecento,oz
Campari,0.5,The Cinquecento,oz
Fresh grapefruit juice,0.75,The Cinquecento,oz
Angostura bitters,1,The Cinquecento,oz
Grapefruit twist,1,The Cinquecento,units
Dubonnet,0.75,The Crux,oz
Triple sec,0.75,The Crux,oz
Brandy,0.75,The Crux,oz
Lemon juice,0.75,The Crux,oz
Orange wheel,1,The Crux,units
Single-malt scotch whisky,2.5,The Debonair,oz
Ginger liqueur,1,The Debonair,oz
Lemon twist,1,The Debonair,units
Straight rye whiskey,2,The Delmarva Cocktail,oz
Dry vermouth,0.5,The Delmarva Cocktail,oz
White creme de menthe,0.5,The Delmarva Cocktail,oz
Lemon juice,0.5,The Delmarva Cocktail,oz
Straight rye whiskey,2,The Duboudreau Cocktail,oz
Dubonnet rouge,0.75,The Duboudreau Cocktail,oz
Fernet-branca,0.25,The Duboudreau Cocktail,oz
Elderflower liqueur,0.25,The Duboudreau Cocktail,oz
Straight rye whiskey,0.75,The Final Ward,oz
Maraschino liqueur,0.75,The Final Ward,oz
Green chartreuse,0.75,The Final Ward,oz
Lemon juice,0.75,The Final Ward,oz
Lemon wedges,3,The Groupie,units
Superfine sugar,0.5,The Groupie,oz
Citrus-flavored vodka,2,The Groupie,oz
Cachaca,1.5,The Holy Roller,oz
Lime juice,0.75,The Holy Roller,oz
Honey syrup,0.5,The Holy Roller,oz
Angostura bitters,2,The Holy Roller,oz
Mint sprigs,0.5,The Holy Roller,units
Champagne,0.5,The Holy Roller,oz
Sparkling wine,0.5,The Holy Roller with Sparkling wine,oz
Cachaca,1.5,The Holy Roller with Sparkling wine,oz
Lime juice,0.75,The Holy Roller with Sparkling wine,oz
Honey syrup,0.5,The Holy Roller with Sparkling wine,oz
Angostura bitters,2,The Holy Roller with Sparkling wine,oz
Mint sprigs,0.5,The Holy Roller with Sparkling wine,units
Blanco tequila,2,The Interesting Cocktail,oz
Aperol,0.5,The Interesting Cocktail,oz
Dark creme de cacao,0.5,The Interesting Cocktail,oz
Lemon juice,0.75,The Interesting Cocktail,oz
Grapefruit twist,1,The Interesting Cocktail,units
Vodka,1,The Jamaican Ten Speed,oz
Melon liqueur,0.75,The Jamaican Ten Speed,oz
Creme de banana,0.25,The Jamaican Ten Speed,oz
Coconut-flavored rum,0.25,The Jamaican Ten Speed,oz
Half-and-half,0.5,The Jamaican Ten Speed,oz
Scotch whiskey,1.5,The Joe Lewis,oz
Fresh carrot juice,1,The Joe Lewis,oz
Tawny port,0.75,The Joe Lewis,oz
Lemon juice,0.5,The Joe Lewis,oz
Agave nectar,1,The Joe Lewis,oz
Black cherry-flavored vodka,2,The Loop,oz
White creme de cacao,0.5,The Loop,oz
Chile syrup,0.5,The Loop,oz
Grated bittersweet chocolate,1,The Loop,units
Blanco tequila,2,The Nomad South,oz
Orange juice,1,The Nomad South,oz
Orange juice,0.5,The Nomad South,oz
Agave nectar,0.5,The Nomad South,oz
Lime juice,0.5,The Nomad South,oz
Whiskey barrel bitters,1,The Nomad South,oz
Reposado tequila,1.5,The Oaxaca Old-Fashioned,oz
Mezcal,0.5,The Oaxaca Old-Fashioned,oz
Agave nectar,0.25,The Oaxaca Old-Fashioned,oz
Angostura bitters,2,The Oaxaca Old-Fashioned,oz
Orange wheel,1,The Oaxaca Old-Fashioned,units
Flamed,1,The Oaxaca Old-Fashioned,units
Mint leaves,6,The Old Cuban,units
Simple syrup,1,The Old Cuban,oz
Lime juice,0.75,The Old Cuban,oz
Dark rum,1.5,The Old Cuban,oz
Angostura bitters,2,The Old Cuban,oz
Champagne,2,The Old Cuban,oz
Chopped fresh mint,2,The Old Cuban,oz
Reposado tequila,2,The Poncho,oz
Dry vermouth,0.5,The Poncho,oz
Maraschino liqueur,0.5,The Poncho,oz
Peychaud's bitters,2,The Poncho,oz
Maraschino cherry,1,The Poncho,units
Blanco tequila,1.5,The Refuge,oz
Aperol,0.5,The Refuge,oz
Lime juice,0.25,The Refuge,oz
Grapefruit juice,0.25,The Refuge,oz
Agave nectar,0.25,The Refuge,oz
Mezcal,1,The Sfozando,oz
Rye whiskey,0.75,The Sfozando,oz
Dry vermouth,0.5,The Sfozando,oz
Benedictine,0.5,The Sfozando,oz
Chocolate bitters,1,The Sfozando,oz
Orange wheel,1,The Sfozando,units
Orange-flavored vodka,2,The Summer Of Love,oz
Rose water,2,The Summer Of Love,oz
Lillet blanc,1,The Summer Of Love,oz
Black raspberry liqueur,0.25,The Summer Of Love,oz
Orange-flavored vodka,1,The Titian,oz
Grand marnier,0.5,The Titian,oz
Passion fruit juice,1,The Titian,oz
Lime juice,0.5,The Titian,oz
Pomegranate syrup,0.5,The Titian,oz
Raspberries,1,The Titian,units
Peeled,1,The Vacation Cocktail,oz
Fresh ginger,1,The Vacation Cocktail,oz
Lime juice,0.75,The Vacation Cocktail,oz
Each simple syrup,0.5,The Vacation Cocktail,oz
Light rum,0.5,The Vacation Cocktail,oz
Dark rum,0.5,The Vacation Cocktail,oz
Mango juice,1,The Vacation Cocktail,oz
Each cranberry juice,0.5,The Vacation Cocktail,oz
Orange juice,0.5,The Vacation Cocktail,oz
Spiced rum,0.5,The Vacation Cocktail,oz
Mango slice,1,The Vacation Cocktail,units
Absinthe,1,The Wink,oz
Gin,2,The Wink,oz
Triple sec,0.25,The Wink,oz
Simple syrup,0.25,The Wink,oz
Peychaud's bitters,2,The Wink,oz
Fresh sage leaves,3,The Winkle,oz
Gin,2,The Winkle,oz
Lime juice,1,The Winkle,oz
Limoncello,0.5,The Winkle,oz
Simple syrup,0.5,The Winkle,oz
Raspberries,4,The Winkle,units
Lemon twist,1,The Winkle,units
Light rum,0.75,Third-Rail Cocktail,oz
Apple brandy,0.75,Third-Rail Cocktail,oz
Brandy,0.75,Third-Rail Cocktail,oz
Anisette,0.25,Third-Rail Cocktail,oz
Fresh cherry tomatoes,3,Three Miller Cocktail,oz
Dark rum,2,Three Miller Cocktail,oz
Lime juice,1,Three Miller Cocktail,oz
Simple syrup,1,Three Miller Cocktail,oz
Angostura bitters,1,Three Miller Cocktail,oz
Gin,1,Three Stripes Cocktail,oz
Dry vermouth,0.5,Three Stripes Cocktail,oz
Orange juice,1,Three Stripes Cocktail,oz
Powdered sugar,1,Thunder,oz
Egg yolk,1,Thunder,units
Brandy,1.5,Thunder,oz
Cayenne pepper,1,Thunder,oz
Powdered sugar,1,Thunder Cocktail,oz
Egg yolk,1,Thunder Cocktail,units
Old mr. boston five star brandy,1.5,Thunder Cocktail,oz
Cayenne pepper,1,Thunder Cocktail,oz
Egg yolk,1,Thunder and Lightning Cocktail,units
Powdered sugar,1,Thunder and Lightning Cocktail,oz
Old mr. boston five star brandy,1.5,Thunder and Lightning Cocktail,oz
Old mr. boston dry gin,0.75,Thunderclap Cocktail,oz
Old thompson blended whiskey,0.75,Thunderclap Cocktail,oz
Old mr. boston five star brandy,0.75,Thunderclap Cocktail,oz
Citrus-flavored vodka,2,Thyme Collins,oz
Mint syrup,1,Thyme Collins,oz
Lemon juice,1,Thyme Collins,oz
Thyme sprig,1,Thyme Collins,oz
Bitter lemon soda,3,Thyme Collins,units
Long thyme sprigs,2,Thyme Collins,oz
Blanco tequila,1.5,Tia Juanathan,oz
Lime juice,0.5,Tia Juanathan,oz
Aperol,0.5,Tia Juanathan,oz
Yellow chartreuse,0.5,Tia Juanathan,oz
Soda water,3,Tia Juanathan,oz
Orange half-wheel,1,Tia Juanathan,units
Fresh cilantro leaves,3,Tiger Tanaka,oz
Fresh ginger,1,Tiger Tanaka,oz
Citrus-flavored vodka,2,Tiger Tanaka,oz
Limoncello,0.5,Tiger Tanaka,oz
Pineapple juice,0.75,Tiger Tanaka,oz
Gold tequila,2,Tijuana Taxi,oz
Blue curacao,1,Tijuana Taxi,oz
Tropical fruit schnapps,1,Tijuana Taxi,oz
Orange wheel,1,Tijuana Taxi,units
Maraschino cherry,1,Tijuana Taxi,units
Lemon wedges,1,Toasted Drop,units
Cinnamon sugar,1,Toasted Drop,units
Citrus-flavored vodka,1.5,Toasted Drop,oz
Limoncello,0.75,Toasted Drop,oz
Amaretto,0.25,Toasted Drop,oz
Lemon juice,0.75,Toasted Drop,oz
Egg white,1,Toasted Drop,units
Vodka,1,Top Banana,oz
Creme de banana,1,Top Banana,oz
Orange juice,2,Top Banana,oz
Blanco tequila,1.5,Toreador,oz
Dark creme de cacao,0.5,Toreador,oz
Half-and-half,0.5,Toreador,oz
Light rum,1.5,Torridora Cocktail,oz
Coffee-flavored brandy,0.5,Torridora Cocktail,oz
Half-and-half,1.5,Torridora Cocktail,oz
151-proof rum,1,Torridora Cocktail,oz
Vodka,1.5,Tovarich Cocktail,oz
Kummel,0.75,Tovarich Cocktail,oz
Lime juice,0.5,Tovarich Cocktail,oz
Gin,1,Traditional Martini (Dry),oz
Dry vermouth,1,Traditional Martini (Dry),oz
Orange bitters,1,Traditional Martini (Dry),oz
Aquavit,1,Trident,oz
Cynar,0.5,Trident,oz
Dry sherry,1,Trident,oz
Peach bitters,2,Trident,oz
Sweet vermouth,0.75,Trinity Cocktail,oz
Dry vermouth,0.75,Trinity Cocktail,oz
Gin,0.75,Trinity Cocktail,oz
Canadian whisky,1.5,Trois Rivieres,oz
Dubonnet,1,Trois Rivieres,oz
Triple sec,1.5,Trois Rivieres,oz
Light rum,2,Tropica Cocktail,oz
Pineapple juice,3,Tropica Cocktail,oz
Fresh grapefruit juice,1,Tropica Cocktail,oz
Grenadine,1,Tropica Cocktail,oz
Pineapple wedge,1,Tropica Cocktail,units
Hot shot tropical fruit liqueur,1,Tropical Heart,oz
Apple cider,2,Tropical Heart,oz
Gin,1,Twin Six Cocktail,oz
Sweet vermouth,0.5,Twin Six Cocktail,oz
Grenadine,0.25,Twin Six Cocktail,oz
Orange juice,1,Twin Six Cocktail,oz
Egg white,1,Twin Six Cocktail,units
Vodka,2,Twister,oz
Lime juice,0.5,Twister,oz
Lime wedges,1,Twister,units
Lemon-lime soda,3,Twister,oz
Gin,1.5,Ulanda Cocktail,oz
Triple sec,0.75,Ulanda Cocktail,oz
Anis,0.25,Ulanda Cocktail,oz
Lime wedges,1,Underneath The Mango Tree,units
